Здесь сравниваем по критерию хи-квадрат результаты прогнозирования для всех обученных моделей. 
Максимальное значение критерия хи-квадрат равно 30720. 

Для целевых метрик fbeta_06 и fbeta_07 величина хи-квадрат равна 23965, V Крамера 0.780, уровень значимости 0.0000e+00. 
Для целевых метрик fbeta_06 и fbeta_08 величина хи-квадрат равна 23494, V Крамера 0.765, уровень значимости 0.0000e+00. 
Для целевых метрик fbeta_06 и fbeta_09 величина хи-квадрат равна 22019, V Крамера 0.717, уровень значимости 0.0000e+00. 
Для целевых метрик fbeta_06 и roc_auc величина хи-квадрат равна 15793, V Крамера 0.514, уровень значимости 0.0000e+00. 
Для целевых метрик fbeta_07 и fbeta_08 величина хи-квадрат равна 26975, V Крамера 0.878, уровень значимости 0.0000e+00. 
Для целевых метрик fbeta_07 и fbeta_09 величина хи-квадрат равна 24479, V Крамера 0.797, уровень значимости 0.0000e+00. 
Для целевых метрик fbeta_07 и roc_auc величина хи-квадрат равна 16354, V Крамера 0.532, уровень значимости 0.0000e+00. 
Для целевых метрик fbeta_08 и fbeta_09 величина хи-квадрат равна 25089, V Крамера 0.817, уровень значимости 0.0000e+00. 
Для целевых метрик fbeta_08 и roc_auc величина хи-квадрат равна 17345, V Крамера 0.565, уровень значимости 0.0000e+00. 
Для целевых метрик fbeta_09 и roc_auc величина хи-квадрат равна 19572, V Крамера 0.637, уровень значимости 0.0000e+00. 
